Event	ID	Name			Wwise Object Path	Notes
	288751377	Play_reg_logo_slide_out			\Registration Screen\Play_reg_logo_slide_out	
	533777344	Play_reg_ui_major_musical			\Registration Screen\Play_reg_ui_major_musical	
	909248905	Play_reg_ui_back			\Registration Screen\Play_reg_ui_back	
	1022995255	Play_reg_ui_major			\Registration Screen\Play_reg_ui_major	
	1373628539	Play_reg_ui_object_appear			\Registration Screen\Play_reg_ui_object_appear	
	1451008834	Play_leaves_around_player			\Registration Screen\Play_leaves_around_player	
	1565260793	Play_RegScreen_forest_loop			\Registration Screen\Play_RegScreen_forest_loop	
	1668784474	Stop_RegScreen_Tone_Loop			\Registration Screen\Stop_RegScreen_Tone_Loop	
	2150638128	Play_reg_logo_pop_in			\Registration Screen\Play_reg_logo_pop_in	
	2596625616	Play_RegScreen_Tone_Loop			\Registration Screen\Play_RegScreen_Tone_Loop	
	2916088971	Stop_RegScreen_forest_loop			\Registration Screen\Stop_RegScreen_forest_loop	
	2922429955	Play_reg_ui_standard_key_delete			\Registration Screen\Play_reg_ui_standard_key_delete	
	3733531975	Play_reg_ui_standard_key			\Registration Screen\Play_reg_ui_standard_key	
	4018149672	Stop_leaves_around_player			\Registration Screen\Stop_leaves_around_player	
	4076483622	Play_reg_ui_navigation			\Registration Screen\Play_reg_ui_navigation	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	32510101	tt_amb_tree_leaf_falls_32	V:\A Township Tale Audio\A Township Tale_WwiseProject\.cache\Windows\SFX\tt_amb_tree_leaf_falls_32_CA0198D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Registration Screen Audio\Ambience\leaves_around_player\tt_amb_tree_leaf_falls_32		152608
	39002092	tt_amb_tree_leaf_falls_10	V:\A Township Tale Audio\A Township Tale_WwiseProject\.cache\Windows\SFX\tt_amb_tree_leaf_falls_10_CA0198D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Registration Screen Audio\Ambience\leaves_around_player\tt_amb_tree_leaf_falls_10		62376
	39261761	tt_amb_tree_leaf_falls_08	V:\A Township Tale Audio\A Township Tale_WwiseProject\.cache\Windows\SFX\tt_amb_tree_leaf_falls_08_CA0198D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Registration Screen Audio\Ambience\leaves_around_player\tt_amb_tree_leaf_falls_08		48844
	55790400	att_ui_registration_standard_key_05	V:\A Township Tale Audio\A Township Tale_WwiseProject\.cache\Windows\SFX\att_ui_registration_standard_key_05_CA0198D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Registration Screen Audio\UI\reg_ui_standard_key\att_ui_registration_standard_key_05		31700
	80810647	att_ui_registration_standard_key_01	V:\A Township Tale Audio\A Township Tale_WwiseProject\.cache\Windows\SFX\att_ui_registration_standard_key_01_CA0198D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Registration Screen Audio\UI\reg_ui_standard_key\att_ui_registration_standard_key_01		38556
	93373339	tt_amb_tree_leaf_falls_15	V:\A Township Tale Audio\A Township Tale_WwiseProject\.cache\Windows\SFX\tt_amb_tree_leaf_falls_15_CA0198D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Registration Screen Audio\Ambience\leaves_around_player\tt_amb_tree_leaf_falls_15		64324
	103024770	att_ui_registration_standard_key_07	V:\A Township Tale Audio\A Township Tale_WwiseProject\.cache\Windows\SFX\att_ui_registration_standard_key_07_CA0198D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Registration Screen Audio\UI\reg_ui_standard_key\att_ui_registration_standard_key_07		27388
	103472444	att_ui_restration_ui_object_appear_05	V:\A Township Tale Audio\A Township Tale_WwiseProject\.cache\Windows\SFX\att_ui_restration_ui_object_appear_05_CA0198D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Registration Screen Audio\UI\reg_ui_object_appear\att_ui_restration_ui_object_appear_05		97332
	109283127	tt_amb_tree_leaf_falls_18	V:\A Township Tale Audio\A Township Tale_WwiseProject\.cache\Windows\SFX\tt_amb_tree_leaf_falls_18_CA0198D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Registration Screen Audio\Ambience\leaves_around_player\tt_amb_tree_leaf_falls_18		118188
	120785781	att_ui_restration_ui_object_appear_04	V:\A Township Tale Audio\A Township Tale_WwiseProject\.cache\Windows\SFX\att_ui_restration_ui_object_appear_04_CA0198D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Registration Screen Audio\UI\reg_ui_object_appear\att_ui_restration_ui_object_appear_04		123632
